,@katyperry,@justinbieber,@BarackObama,@taylorswift13,@rihanna,@TheEllenShow,@ladygaga,@jtimberlake,@KimKardashian,@selenagomez,@jimmyfallon,@ArianaGrande,@ddlovato,@MileyCyrus,@kanyewest,@realDonaldTrump,@KingJames,@Oprah,@Adele,@Drake,@KevinHart4real,@RyanSeacrest,@JLo,@NICKIMINAJ
@katyperry,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@justinbieber,7.0,0.0,0.0,0.0,1.0,21.0,1.0,2.0,0.0,0.0,7.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,4.0,10.0,1.0,0.0
@BarackObama,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@taylorswift13,1.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0
@rihanna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
@TheEllenShow,54.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,2.0,8.0,9.0,5.0,1.0,0.0,2.0,1.0
@ladygaga,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@jtimberlake,2.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@KimKardashian,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
@selenagomez,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@jimmyfallon,4.0,5.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,10.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0
@ArianaGrande,9.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0
@ddlovato,2.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0
@MileyCyrus,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
@kanyewest,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@realDonaldTrump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@KingJames,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
@Oprah,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@Adele,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@Drake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@KevinHart4real,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@RyanSeacrest,34.0,10.0,2.0,13.0,2.0,3.0,3.0,3.0,9.0,3.0,4.0,3.0,14.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,47.0,3.0
@JLo,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0
@NICKIMINAJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
